School Year,District,City,State,StudentID,Grade,Math Score,Reading Score,Math Tutor,Math Tutor Hours,Math Tutor Period,Reading Tutor,Reading Tutor Hours,Reading Tutor Period
2023-2024,,,,12,10,410,113,,,,Aria Peterson,37,2
2023-2024,,,,13,10,427,147,,,,Emily Foster,30,2
2023-2024,,,,14,10,438,340,,,,,,
2023-2024,,,,15,11,354,394,,,,,,
2023-2024,,,,16,12,425,486,,,,,,
2023-2024,,,,17,10,401,244,,,,,,
2023-2024,,,,18,12,251,270,,,,,,
2023-2024,,,,19,11,242,334,,,,,,
2023-2024,,,,20,10,191,462,Matthew Hughes,3,6,,,
2023-2024,,,,21,10,179,420,Ava Parker,26,2,,,
2023-2024,,,,22,11,235,398,,,,,,
2023-2024,,,,23,12,367,199,,,,,,
2023-2024,,,,24,11,163,224,Daniel Wright,6,1,Daniel Wright,32,6
2023-2024,,,,25,12,393,376,,,,,,
2023-2024,,,,26,11,227,472,Nicholas Turner,33,4,,,
2023-2024,,,,27,12,423,241,,,,,,
2023-2024,,,,28,12,418,300,,,,,,
2023-2024,,,,29,10,270,320,,,,,,
2023-2024,,,,30,11,312,114,,,,Matthew Hughes,34,1
2023-2024,,,,31,12,405,203,,,,,,
2023-2024,,,,32,10,440,499,,,,,,
2023-2024,,,,33,10,482,257,,,,,,
2023-2024,,,,34,11,141,241,Ethan Morgan,28,3,Ethan Morgan,23,3
2023-2024,,,,35,12,216,242,Victoria Richardson,40,2,Victoria Richardson,15,1
2023-2024,,,,36,12,177,266,Mia Richardson,36,1,,,
2023-2024,,,,37,12,380,429,,,,,,
2023-2024,,,,38,11,303,418,,,,,,
2023-2024,,,,39,12,250,463,,,,,,
2023-2024,,,,40,10,368,146,,,,Chloe Rivera,19,1
2023-2024,,,,41,11,379,222,,,,,,
2023-2024,,,,42,12,259,239,,,,Abigail Nelson,9,1
2023-2024,,,,43,10,385,319,,,,,,
2023-2024,,,,44,10,267,489,,,,,,
2023-2024,,,,45,12,480,365,,,,,,
2023-2024,,,,46,12,269,373,,,,,,
2023-2024,,,,47,10,321,164,,,,Avery Foster,30,3
2023-2024,,,,48,11,293,397,,,,,,
2023-2024,,,,49,11,163,338,Abigail Nelson,18,4,,,
2023-2024,,,,50,11,179,180,Christopher Price,26,3,Christopher Price,41,3
2023-2024,Aspen Ridge Public Education,Grand Junction,CO,51,11,454,316,,,,,,
2023-2024,,,,52,10,220,196,Sofia Reed,11,5,Sofia Reed,7,1
2023-2024,,,,53,11,188,375,Elizabeth Scott,35,5,,,
2023-2024,,,,54,12,342,383,,,,,,
2023-2024,,,,55,12,277,442,,,,,,
2023-2024,,,,56,11,506,323,,,,,,
2023-2024,,,,57,12,258,498,,,,,,
2023-2024,,,,58,12,279,342,,,,,,
2023-2024,,,,59,12,235,348,,,,,,
2023-2024,,,,60,12,407,409,,,,,,
2023-2024,,,,61,12,281,374,,,,,,
2023-2024,,,,62,12,452,213,,,,,,
2023-2024,,,,63,11,348,295,,,,,,
2023-2024,,,,64,10,231,333,,,,,,
2023-2024,,,,65,11,483,262,,,,,,
2023-2024,,,,66,11,210,251,,,,,,
2023-2024,,,,67,12,172,402,Henry Cooper,32,1,,,
2023-2024,,,,68,12,368,367,,,,,,
2023-2024,,,,69,11,254,378,,,,,,
2023-2024,,,,70,12,505,436,,,,,,
2023-2024,,,,71,11,383,338,,,,,,
2023-2024,,,,72,11,336,467,,,,,,
2023-2024,,,,73,11,153,271,Lily Bennett,17,1,,,
2023-2024,,,,74,11,175,431,Lily Bennett,15,5,,,
2023-2024,,,,75,10,325,248,,,,,,
2023-2024,,,,76,11,412,400,,,,,,
2023-2024,,,,77,12,373,134,,,,Matthew Hughes,13,3
2023-2024,,,,78,10,188,192,Scarlett Parker,16,3,Scarlett Parker,26,2
2023-2024,,,,79,11,261,244,,,,,,
2023-2024,,,,80,10,341,237,,,,,,
2023-2024,,,,81,10,412,422,,,,,,
2023-2024,,,,82,10,504,347,,,,,,
2023-2024,,,,83,12,397,272,,,,,,
2023-2024,,,,84,12,201,348,Noah Hayes,4,4,,,
2023-2024,,,,85,10,177,237,Michael Adams,30,6,,,
2023-2024,,,,86,11,256,213,,,,Avery Foster,2,6
2023-2024,,,,87,12,484,281,,,,,,
2023-2024,,,,88,11,283,269,,,,,,
2023-2024,,,,89,10,195,271,Lily Bennett,42,2,,,
2023-2024,,,,90,10,229,495,,,,,,
2023-2024,,,,91,10,306,438,,,,,,
2023-2024,,,,92,12,359,172,,,,Alexander Gray,37,4
2023-2024,,,,93,11,232,478,,,,,,
2023-2024,,,,94,10,429,188,,,,Victoria Richardson,32,3
2023-2024,,,,95,11,480,265,,,,,,
2023-2024,,,,96,11,243,269,,,,,,
2023-2024,,,,97,11,294,212,,,,,,
2023-2024,,,,98,12,437,476,,,,,,
2023-2024,,,,99,12,239,267,,,,,,
2023-2024,,,,100,11,420,330,,,,,,
2023-2024,Birchwood Regional District,Gainesville,FL,101,11,209,509,,,,,,
2023-2024,,,,102,10,336,409,,,,,,
2023-2024,,,,103,11,304,227,,,,Alexander Gray,29,6
2023-2024,,,,104,10,145,241,Emily Foster,31,5,,,
2023-2024,,,,105,12,327,338,,,,,,
2023-2024,,,,106,12,276,367,,,,,,
2023-2024,,,,107,11,258,335,,,,,,
2023-2024,,,,108,10,481,497,,,,,,
2023-2024,,,,109,10,349,338,,,,,,
2023-2024,,,,110,12,220,361,Elizabeth Scott,26,6,,,
2023-2024,,,,111,12,295,166,,,,William Carter,24,5
2023-2024,,,,112,11,351,327,,,,,,
2023-2024,,,,113,10,417,394,,,,,,
2023-2024,,,,114,10,307,470,,,,,,
2023-2024,,,,115,10,382,500,,,,,,
2023-2024,,,,116,11,376,161,,,,Emily Foster,5,6
2023-2024,,,,117,12,422,240,,,,,,
2023-2024,,,,118,11,434,397,,,,,,
2023-2024,,,,119,11,135,305,Chloe Rivera,25,1,,,
2023-2024,,,,120,12,352,475,,,,,,
2023-2024,,,,121,10,300,308,,,,,,
2023-2024,,,,122,12,152,334,Joshua Butler,32,3,,,
2023-2024,,,,123,10,147,368,Samuel Gray,20,1,,,
2023-2024,,,,124,11,319,189,,,,Daniel Morgan,32,2
2023-2024,,,,125,10,175,192,Sofia Reed,20,4,,,
2023-2024,,,,126,11,485,429,,,,,,
2023-2024,,,,127,10,414,440,,,,,,
2023-2024,,,,128,10,372,208,,,,,,
2023-2024,,,,129,10,415,307,,,,,,
2023-2024,,,,130,11,365,489,,,,,,
2023-2024,,,,131,12,189,227,Sophia Reynolds,33,2,,,
2023-2024,,,,132,11,190,288,Alexander Gray,13,6,,,
2023-2024,,,,133,12,409,143,,,,Chloe Rivera,21,1
2023-2024,,,,134,11,210,308,,,,,,
2023-2024,,,,135,11,280,374,,,,,,
2023-2024,,,,136,11,360,286,,,,,,
2023-2024,,,,137,11,240,173,,,,Henry Cooper,28,2
2023-2024,,,,138,11,444,496,,,,,,
2023-2024,,,,139,12,435,167,,,,Charlotte Peterson,14,4
2023-2024,,,,140,12,426,279,,,,,,
2023-2024,,,,141,12,330,404,,,,,,
2023-2024,,,,142,12,198,264,,,,,,
2023-2024,,,,143,10,353,175,,,,Amelia Brooks,4,2
2023-2024,,,,144,11,253,493,,,,,,
2023-2024,,,,145,10,390,379,,,,,,
2023-2024,,,,146,11,300,117,,,,Joseph Coleman,39,1
2023-2024,,,,147,10,373,234,,,,,,
2023-2024,,,,148,11,472,235,,,,David Mitchell,2,2
2023-2024,Birchwood Springs Independent Schools,Cleveland,OH,149,11,258,306,,,,,,
2023-2024,,,,150,12,167,433,Scarlett Parker,21,6,,,
2023-2024,,,,151,11,266,270,,,,,,
2023-2024,,,,152,11,344,156,,,,Matthew Hughes,19,6
2023-2024,,,,153,10,351,160,,,,Christopher Price,23,1
2023-2024,,,,154,11,256,424,,,,,,
2023-2024,,,,155,12,196,217,Emily Foster,28,5,,,
2023-2024,,,,156,12,126,320,Evelyn Mitchell,11,1,,,
2023-2024,,,,157,12,486,309,,,,,,
2023-2024,,,,158,10,333,438,,,,,,
2023-2024,,,,159,11,270,309,,,,,,
2023-2024,,,,160,11,478,369,,,,,,
2023-2024,,,,161,12,484,207,,,,Samuel Gray,24,1
2023-2024,,,,162,12,256,437,,,,,,
2023-2024,,,,163,12,330,275,,,,,,
2023-2024,,,,164,12,175,167,Noah Hayes,18,4,Noah Hayes,2,3
2023-2024,,,,165,10,488,404,,,,,,
2023-2024,,,,166,12,448,270,,,,,,
2023-2024,,,,167,11,245,347,Sophia Reynolds,36,3,,,
2023-2024,,,,168,11,454,460,,,,,,
2023-2024,,,,169,11,424,266,,,,,,
2023-2024,,,,170,12,436,410,,,,,,
2023-2024,,,,171,11,356,430,,,,,,
2023-2024,,,,172,12,230,193,,,,Elizabeth Scott,25,3
2023-2024,,,,173,10,277,214,,,,,,
2023-2024,,,,174,11,409,507,,,,,,
2023-2024,,,,175,12,447,270,,,,,,
2023-2024,,,,176,10,167,192,Ethan Morgan,7,6,Ethan Morgan,8,4
2023-2024,,,,177,12,274,201,,,,Daniel Morgan,14,4
2023-2024,,,,178,12,218,373,Isabella Bennett,36,4,,,
2023-2024,,,,179,10,196,153,Mia Richardson,15,3,Mia Richardson,17,5
2023-2024,,,,180,10,168,130,Olivia Simmons,24,2,Olivia Simmons,7,5
2023-2024,,,,181,10,451,394,,,,,,
2023-2024,,,,182,10,226,344,,,,,,
2023-2024,,,,183,11,224,362,Christopher Price,14,3,,,
2023-2024,,,,184,11,124,305,Matthew Hughes,39,3,,,
2023-2024,,,,185,10,337,400,,,,,,
2023-2024,,,,186,12,384,295,,,,,,
2023-2024,,,,187,12,403,425,,,,,,
2023-2024,,,,188,11,384,224,,,,,,
2023-2024,,,,189,10,423,336,,,,,,
2023-2024,,,,190,12,334,359,,,,,,
2023-2024,,,,191,10,389,339,,,,,,
2023-2024,,,,192,10,487,120,,,,Mia Richardson,28,5
2023-2024,Cedar Grove Educational Association,Birmingham,AL,193,11,487,270,,,,,,
2023-2024,,,,194,11,199,510,Daniel Wright,25,6,,,
2023-2024,,,,195,12,218,420,Grace Murphy,29,4,,,
2023-2024,,,,196,12,131,224,Scarlett Parker,28,3,,,
2023-2024,,,,197,12,363,213,,,,Amelia Brooks,31,6
2023-2024,,,,198,10,424,181,,,,Ethan Morgan,13,6
2023-2024,,,,199,10,361,349,,,,,,
2023-2024,,,,200,11,444,309,,,,,,
2023-2024,,,,201,11,324,350,,,,,,
2023-2024,,,,202,12,257,298,,,,,,
2023-2024,,,,203,12,171,370,Evelyn Mitchell,22,4,,,
2023-2024,,,,204,10,219,249,,,,,,
2023-2024,,,,205,11,161,306,David Mitchell,22,3,,,
2023-2024,,,,206,11,227,297,Logan Carter,4,3,,,
2023-2024,,,,207,11,223,161,,,,Ethan Morgan,13,5
2023-2024,,,,208,10,207,344,Victoria Richardson,28,4,,,
2023-2024,,,,209,12,374,221,,,,Evelyn Mitchell,30,2
2023-2024,,,,210,10,478,261,,,,,,
2023-2024,,,,211,11,224,511,,,,,,
2023-2024,,,,212,12,206,376,Ava Parker,8,5,,,
2023-2024,,,,213,10,321,368,,,,,,
2023-2024,,,,214,11,484,409,,,,,,
2023-2024,,,,215,10,240,459,,,,,,
2023-2024,,,,216,11,486,226,,,,,,
2023-2024,,,,217,12,161,224,Joshua Butler,28,3,Joshua Butler,16,1
2023-2024,,,,218,10,294,389,,,,,,
2023-2024,,,,219,12,185,375,David Mitchell,23,4,,,
2023-2024,,,,220,10,499,229,,,,,,
2023-2024,,,,221,11,384,311,,,,,,
2023-2024,,,,222,10,366,148,,,,Andrew Ross,21,3
2023-2024,,,,223,10,377,423,,,,,,
2023-2024,,,,224,11,294,281,,,,,,
2023-2024,,,,225,11,293,158,,,,Lily Bennett,18,3
2023-2024,,,,226,11,361,304,,,,,,
2023-2024,,,,227,10,277,261,,,,,,
2023-2024,,,,228,10,497,199,,,,,,
2023-2024,,,,229,11,195,323,,,,,,
2023-2024,,,,230,11,399,317,,,,,,
2023-2024,,,,231,12,189,211,Noah Hayes,42,2,,,
2023-2024,,,,232,12,294,295,,,,,,
2023-2024,,,,233,10,280,214,,,,William Carter,7,4
2023-2024,,,,234,11,301,207,,,,,,
2023-2024,,,,235,11,447,226,,,,Joshua Butler,36,5
2023-2024,,,,236,12,393,501,,,,,,
2023-2024,,,,237,12,481,253,,,,,,
2023-2024,,,,238,11,224,343,,,,,,
2023-2024,,,,239,11,421,316,,,,,,
2023-2024,,,,240,10,397,227,,,,Daniel Morgan,3,3
2023-2024,,,,241,12,181,255,Ava Parker,37,6,,,
2023-2024,,,,242,12,294,445,,,,,,
2023-2024,Cedarwood Independent Schools,Fort Worth,TX,243,10,213,307,,,,,,
2023-2024,,,,244,12,157,220,William Carter,42,6,,,
2023-2024,,,,245,12,201,391,Alexander Gray,32,1,,,
2023-2024,,,,246,11,401,180,,,,Evelyn Mitchell,23,2
2023-2024,,,,247,12,422,234,,,,,,
2023-2024,,,,248,10,465,305,,,,,,
2023-2024,,,,249,10,340,291,,,,,,
2023-2024,,,,250,11,403,385,,,,,,
2023-2024,,,,251,11,425,426,,,,,,
2023-2024,,,,252,10,403,307,,,,,,
2023-2024,,,,253,12,141,129,Alexander Gray,12,5,Alexander Gray,6,2
2023-2024,,,,254,10,158,222,Daniel Wright,23,3,,,
2023-2024,,,,255,11,166,296,Evelyn Mitchell,11,6,,,
2023-2024,,,,256,11,269,415,,,,,,
2023-2024,,,,257,10,342,174,,,,Daniel Morgan,25,5
2023-2024,,,,258,12,297,321,,,,,,
2023-2024,,,,259,12,263,222,,,,,,
2023-2024,,,,260,10,192,299,,,,,,
2023-2024,,,,261,10,380,476,,,,,,
2023-2024,,,,262,10,358,474,,,,,,
2023-2024,,,,263,12,473,248,,,,,,
2023-2024,,,,264,12,151,438,Andrew Ross,27,5,,,
2023-2024,,,,265,12,193,381,Aria Peterson,12,3,,,
2023-2024,,,,266,11,194,389,,,,,,
2023-2024,,,,267,12,147,480,Chloe Rivera,16,3,,,
2023-2024,,,,268,10,445,191,,,,Mia Richardson,7,3
2023-2024,,,,269,11,132,353,Abigail Nelson,11,6,,,
2023-2024,,,,270,10,182,350,Isabella Bennett,28,1,,,
2023-2024,,,,271,11,492,405,,,,,,
2023-2024,,,,272,10,355,293,,,,,,
2023-2024,,,,273,11,177,250,Grace Murphy,27,4,,,
2023-2024,,,,274,10,470,263,,,,,,
2023-2024,,,,275,10,322,161,,,,Olivia Simmons,21,3
2023-2024,,,,276,11,490,189,,,,Olivia Simmons,6,4
2023-2024,,,,277,12,310,463,,,,,,
2023-2024,,,,278,10,472,171,,,,Benjamin Cooper,37,5
2023-2024,,,,279,10,125,231,Daniel Morgan,11,6,,,
2023-2024,,,,280,12,302,186,,,,Scarlett Parker,38,5
2023-2024,,,,281,10,420,207,,,,Noah Hayes,31,1
2023-2024,,,,282,12,151,399,Joseph Coleman,18,3,,,
2023-2024,,,,283,10,457,349,,,,,,
2023-2024,,,,284,11,310,428,,,,,,
2023-2024,,,,285,10,319,243,,,,Noah Hayes,8,5
2023-2024,,,,286,12,391,156,,,,Aria Peterson,33,3
2023-2024,,,,287,11,146,158,Samuel Gray,27,1,Samuel Gray,13,5
2023-2024,,,,288,11,215,254,,,,,,
2023-2024,,,,289,11,198,415,,,,,,
2023-2024,,,,290,10,397,382,,,,,,
2023-2024,,,,291,12,418,431,,,,,,
2023-2024,,,,292,12,218,204,,,,Amelia Brooks,37,1
2023-2024,,,,293,10,266,335,,,,,,
2023-2024,,,,294,10,221,174,,,,Avery Foster,15,1
2023-2024,,,,295,11,215,317,,,,,,
2023-2024,,,,296,10,375,276,,,,,,
2023-2024,,,,297,12,229,458,,,,,,
2023-2024,,,,298,12,330,312,,,,,,
2023-2024,Cypress Creek County Schools,San Angelo,TX,299,10,196,171,David Mitchell,6,3,David Mitchell,22,4
2023-2024,,,,300,11,163,254,Amelia Brooks,28,6,,,
2023-2024,,,,301,11,359,229,,,,,,
2023-2024,,,,302,11,139,129,Lily Bennett,11,3,Lily Bennett,37,2
2023-2024,,,,303,11,424,288,,,,,,
2023-2024,,,,304,11,290,192,,,,Mia Richardson,29,5
2023-2024,,,,305,10,355,228,,,,,,
2023-2024,,,,306,12,356,312,,,,,,
2023-2024,,,,307,11,414,441,,,,,,
2023-2024,,,,308,10,216,353,,,,,,
2023-2024,,,,309,11,151,247,Michael Adams,41,6,,,
2023-2024,,,,310,12,402,507,,,,,,
2023-2024,,,,311,11,212,483,,,,,,
2023-2024,,,,312,11,175,489,Andrew Ross,4,3,,,
2023-2024,,,,313,10,227,479,,,,,,
2023-2024,,,,314,10,434,150,,,,Daniel Morgan,33,4
2023-2024,,,,315,12,481,325,,,,,,
2023-2024,,,,316,11,197,195,,,,Benjamin Cooper,26,3
2023-2024,,,,317,11,199,476,Samuel Gray,10,4,,,
2023-2024,,,,318,11,133,393,Mia Richardson,30,1,,,
2023-2024,,,,319,12,219,226,,,,,,
2023-2024,,,,320,12,251,392,,,,,,
2023-2024,,,,321,11,254,228,,,,Daniel Morgan,28,6
2023-2024,,,,322,11,351,156,,,,Ethan Morgan,40,1
2023-2024,,,,323,11,459,316,,,,,,
2023-2024,,,,324,10,264,292,,,,,,
2023-2024,,,,325,11,202,228,Noah Hayes,35,4,Noah Hayes,2,2
2023-2024,,,,326,11,328,230,,,,,,
2023-2024,,,,327,11,165,230,James Turner,7,1,,,
2023-2024,,,,328,10,291,359,,,,,,
2023-2024,,,,329,11,212,235,,,,,,
2023-2024,,,,330,12,369,256,,,,,,
2023-2024,,,,331,10,242,454,,,,,,
2023-2024,,,,332,10,213,375,,,,,,
2023-2024,,,,333,12,307,366,,,,,,
2023-2024,,,,334,11,165,209,Abigail Nelson,35,4,,,
2023-2024,,,,335,12,120,152,David Mitchell,8,5,David Mitchell,37,6
2023-2024,,,,336,11,341,448,,,,,,
2023-2024,,,,337,11,349,147,,,,Henry Cooper,29,3
2023-2024,,,,338,11,219,289,Nicholas Turner,21,3,,,
2023-2024,,,,339,11,240,485,,,,,,
2023-2024,,,,340,12,404,287,,,,,,
2023-2024,,,,341,12,304,406,,,,,,
2023-2024,,,,342,10,231,465,Liam Foster,4,1,,,
2023-2024,,,,343,12,337,178,,,,Daniel Wright,21,3
2023-2024,,,,344,10,425,503,,,,,,
2023-2024,,,,345,11,213,217,,,,,,
2023-2024,,,,346,10,216,307,,,,,,
2023-2024,,,,347,10,404,240,,,,,,
2023-2024,,,,348,11,213,244,,,,Avery Foster,39,6
2023-2024,Elmwood Heights Public Schools,Santa Barbara,CA,349,12,289,251,,,,,,
2023-2024,,,,350,12,229,306,Sophia Reynolds,11,3,,,
2023-2024,,,,351,11,226,483,,,,,,
2023-2024,,,,352,11,235,456,,,,,,
2023-2024,,,,353,11,138,221,Daniel Morgan,29,3,Daniel Morgan,38,4
2023-2024,,,,354,10,281,354,,,,,,
2023-2024,,,,355,11,444,275,,,,,,
2023-2024,,,,356,11,281,214,,,,,,
2023-2024,,,,357,11,500,489,,,,,,
2023-2024,,,,358,10,381,328,,,,,,
2023-2024,,,,359,10,142,386,Emily Foster,34,3,,,
2023-2024,,,,360,12,457,489,,,,,,
2023-2024,,,,361,10,295,416,,,,,,
2023-2024,,,,362,12,374,257,,,,,,
2023-2024,,,,363,10,480,275,,,,,,
2023-2024,,,,364,10,370,486,,,,,,
2023-2024,,,,365,11,279,365,,,,,,
2023-2024,,,,366,12,365,346,,,,,,
2023-2024,,,,367,11,321,390,,,,,,
2023-2024,,,,368,12,228,222,,,,,,
2023-2024,,,,369,12,217,333,,,,,,
2023-2024,,,,370,11,306,276,,,,,,
2023-2024,,,,371,12,383,397,,,,,,
2023-2024,,,,372,12,151,314,Mia Richardson,22,4,,,
2023-2024,,,,373,12,420,193,,,,,,
2023-2024,,,,374,10,255,136,,,,Scarlett Parker,25,5
2023-2024,,,,375,11,264,471,,,,,,
2023-2024,,,,376,10,410,389,,,,,,
2023-2024,,,,377,11,282,234,,,,,,
2023-2024,,,,378,11,179,253,Logan Carter,18,2,,,
2023-2024,,,,379,12,168,175,Michael Adams,21,1,Michael Adams,29,6
2023-2024,,,,380,12,193,147,Harper Ward,11,6,Harper Ward,9,4
2023-2024,,,,381,12,461,169,,,,Samuel Gray,27,6
2023-2024,,,,382,11,363,293,,,,,,
2023-2024,,,,383,12,206,453,William Carter,24,3,,,
2023-2024,,,,384,10,416,148,,,,Chloe Rivera,20,4
2023-2024,,,,385,11,114,201,Ella Simmons,9,4,Ella Simmons,12,1
2023-2024,,,,386,11,204,383,Henry Cooper,11,6,,,
2023-2024,,,,387,12,457,378,,,,,,
2023-2024,,,,388,11,154,388,David Mitchell,24,5,,,
2023-2024,,,,389,11,384,242,,,,,,
2023-2024,,,,390,11,333,306,,,,,,
2023-2024,,,,391,10,234,288,,,,,,
2023-2024,,,,392,11,217,208,,,,,,
2023-2024,,,,393,11,497,233,,,,,,
2023-2024,,,,394,11,460,267,,,,,,
2023-2024,,,,395,12,248,439,,,,,,
2023-2024,,,,396,12,370,186,,,,Ethan Morgan,8,4
2023-2024,Hawthorn Valley Unified,Cheyenne,WY,397,12,248,305,,,,,,
2023-2024,,,,398,10,348,427,,,,,,
2023-2024,,,,399,11,178,418,Ava Parker,39,4,,,
2023-2024,,,,400,12,303,403,,,,,,
2023-2024,,,,401,10,443,220,,,,Benjamin Cooper,28,3
2023-2024,,,,402,10,480,499,,,,,,
2023-2024,,,,403,10,225,260,,,,,,
2023-2024,,,,404,11,399,300,,,,,,
2023-2024,,,,405,10,456,426,,,,,,
2023-2024,,,,406,11,190,493,,,,,,
2023-2024,,,,407,11,371,166,,,,Olivia Simmons,27,4
2023-2024,,,,408,12,283,195,,,,Samuel Gray,28,3
2023-2024,,,,409,12,300,458,,,,,,
2023-2024,,,,410,10,459,393,,,,,,
2023-2024,,,,411,12,340,483,,,,,,
2023-2024,,,,412,10,436,486,,,,,,
2023-2024,,,,413,12,201,501,William Carter,24,5,,,
2023-2024,,,,414,12,265,195,,,,Elizabeth Scott,17,6
2023-2024,,,,415,12,454,499,,,,,,
2023-2024,,,,416,10,417,296,,,,,,
2023-2024,,,,417,12,287,375,,,,,,
2023-2024,,,,418,11,206,405,David Mitchell,12,2,,,
2023-2024,,,,419,11,227,436,,,,,,
2023-2024,,,,420,11,387,339,,,,,,
2023-2024,,,,421,11,240,266,,,,,,
2023-2024,,,,422,10,423,380,,,,,,
2023-2024,,,,423,10,192,459,Scarlett Parker,26,4,,,
2023-2024,,,,424,12,268,382,,,,,,
2023-2024,,,,425,11,483,224,,,,Grace Murphy,19,6
2023-2024,,,,426,10,484,460,,,,,,
2023-2024,,,,427,10,489,243,,,,,,
2023-2024,,,,428,10,129,151,Lily Bennett,21,5,Lily Bennett,7,5
2023-2024,,,,429,10,194,498,Samuel Gray,26,5,,,
2023-2024,,,,430,11,256,469,,,,,,
2023-2024,,,,431,12,250,184,,,,Nicholas Turner,3,1
2023-2024,,,,432,12,298,418,,,,,,
2023-2024,,,,433,10,181,393,Joshua Butler,30,1,,,
2023-2024,,,,434,12,260,404,,,,,,
2023-2024,,,,435,11,274,389,,,,,,
2023-2024,Juniper Falls School Board,Longview,TX,436,11,462,263,,,,,,
2023-2024,,,,437,11,276,387,,,,,,
2023-2024,,,,438,10,474,232,,,,Daniel Wright,12,2
2023-2024,,,,439,11,201,357,,,,,,
2023-2024,,,,440,10,150,179,Nicholas Turner,10,4,Nicholas Turner,13,1
2023-2024,,,,441,11,320,126,,,,Elizabeth Scott,42,1
2023-2024,,,,442,11,492,215,,,,,,
2023-2024,,,,443,11,225,345,,,,,,
2023-2024,,,,444,10,494,490,,,,,,
2023-2024,,,,445,10,178,474,Mia Richardson,4,2,,,
2023-2024,,,,446,11,295,260,,,,,,
2023-2024,,,,447,10,139,179,Michael Adams,29,6,Michael Adams,35,2
2023-2024,,,,448,10,413,179,,,,Ryan Hayes,37,6
2023-2024,,,,449,10,269,191,,,,,,
2023-2024,,,,450,11,366,237,,,,,,
2023-2024,,,,451,12,223,479,Ryan Hayes,8,1,,,
2023-2024,,,,452,11,207,408,,,,,,
2023-2024,,,,453,10,249,256,,,,,,
2023-2024,,,,454,10,334,143,,,,Evelyn Mitchell,31,5
2023-2024,,,,455,12,507,451,,,,,,
2023-2024,,,,456,11,171,399,Joseph Coleman,8,2,,,
2023-2024,,,,457,10,274,220,,,,,,
2023-2024,,,,458,12,439,188,,,,,,
2023-2024,,,,459,12,176,216,William Carter,40,2,William Carter,28,5
2023-2024,,,,460,10,220,242,Evelyn Mitchell,32,1,,,
2023-2024,,,,461,11,406,345,,,,,,
2023-2024,,,,462,10,473,443,,,,,,
2023-2024,,,,463,10,334,269,,,,,,
2023-2024,,,,464,12,150,251,Grace Murphy,6,4,,,
2023-2024,,,,465,10,163,281,Benjamin Cooper,27,3,,,
2023-2024,,,,466,10,202,153,Sofia Reed,39,5,Sofia Reed,2,1
2023-2024,,,,467,11,381,214,,,,,,
2023-2024,,,,468,10,393,234,,,,Scarlett Parker,16,6
2023-2024,,,,469,11,389,487,,,,,,
2023-2024,,,,470,10,232,208,,,,,,
2023-2024,,,,471,11,410,259,,,,,,
2023-2024,,,,472,11,464,325,,,,,,
2023-2024,,,,473,12,192,221,Avery Foster,3,2,,,
2023-2024,,,,474,12,149,463,Ella Simmons,37,1,,,
2023-2024,,,,475,12,485,209,,,,Grace Murphy,4,2
2023-2024,,,,476,11,273,480,,,,,,
2023-2024,,,,477,11,215,298,Ryan Hayes,20,6,,,
2023-2024,,,,478,11,335,376,,,,,,
2023-2024,,,,479,10,320,320,,,,,,
2023-2024,,,,480,10,162,310,Alexander Gray,43,1,,,
2023-2024,,,,481,11,435,367,,,,,,
2023-2024,,,,482,12,434,473,,,,,,
2023-2024,,,,483,12,486,511,,,,,,
2023-2024,,,,484,10,365,331,,,,,,
2023-2024,,,,485,11,194,456,,,,,,
2023-2024,,,,486,12,206,348,,,,,,
2023-2024,,,,487,12,448,232,,,,,,
2023-2024,Laurelwood Township District,Hyattsville,MD,488,12,269,359,,,,,,
2023-2024,,,,489,11,429,238,,,,,,
2023-2024,,,,490,11,247,355,,,,,,
2023-2024,,,,491,12,169,406,Elizabeth Scott,32,5,,,
2023-2024,,,,492,10,285,448,,,,,,
2023-2024,,,,493,11,492,457,,,,,,
2023-2024,,,,494,10,154,502,Matthew Hughes,6,3,,,
2023-2024,,,,495,11,378,242,,,,,,
2023-2024,,,,496,10,149,430,Logan Carter,20,2,,,
2023-2024,,,,497,10,285,238,,,,,,
2023-2024,,,,498,11,358,339,,,,,,
2023-2024,,,,499,12,234,224,Samuel Gray,34,1,,,
2023-2024,,,,500,12,156,290,Liam Foster,22,6,,,
2023-2024,,,,501,10,147,486,Evelyn Mitchell,28,1,,,
2023-2024,,,,502,11,289,226,,,,,,
2023-2024,,,,503,11,182,174,David Mitchell,43,1,David Mitchell,33,4
2023-2024,,,,504,12,205,326,Sophia Reynolds,20,2,,,
2023-2024,,,,505,11,497,427,,,,,,
2023-2024,,,,506,12,374,409,,,,,,
2023-2024,,,,507,11,405,187,,,,Liam Foster,22,4
2023-2024,,,,508,11,312,435,,,,,,
2023-2024,,,,509,12,423,228,,,,,,
2023-2024,,,,510,12,283,326,,,,,,
2023-2024,,,,511,12,277,299,,,,,,
2023-2024,,,,512,11,493,329,,,,,,
2023-2024,,,,513,10,250,327,,,,,,
2023-2024,,,,514,11,499,376,,,,,,
2023-2024,,,,515,11,256,324,,,,,,
2023-2024,,,,516,11,431,188,,,,Grace Murphy,10,5
2023-2024,,,,517,10,299,405,,,,,,
2023-2024,,,,518,10,455,212,,,,,,
2023-2024,,,,519,12,380,315,,,,,,
2023-2024,,,,520,11,270,292,,,,,,
